@Βύνη|the sea-goddess Ino|LSJ
@Δῆλος|Delos|LSJ
@Εὐσέβεια|patrons of|LSJ
@Εὖρος|the East wind|LSJ
@Θήρα|from Thera|LSJ
@Κάδμος|the Cadmeans or ancient inhabitants of Thebes|LSJ
@Κάρ|experimentum facere in corpore vili|LSJ
@Κάρνειος|festival held in his honour|LSJ
@Καρπάσιον|asbestos (from Carpasia|LSJ
@Καρύϊνος|nut-brown|LSJ
@Κλάριος|distributing by lot|LSJ
@Κλάριος1|distributing by lot|LSJ
@Κλάριος2|of|LSJ
@Κρήτη|from Crete|LSJ
@Κρόνος|a dotard, old fool|LSJ
@Κύπριος|of Cyprus, Cyprian|LSJ
@Κύπρος|from Cyprus|LSJ
@Κώρυκος|spying out|LSJ
@Κῦρος|the elder Cyrus|LSJ
@Κῶς|to Cos|LSJ
@Λ|os hyoïdes|LSJ
@Λάμια|a fabulous monster said to feed on man's flesh|LSJ
@Λίνδος|from Lindos|LSJ
@Λίνος|the song or lay of Linos|LSJ
@Λύκιος|the Lycians|LSJ
@Μαιῆτις2|a fish caught there, and in the Nile|LSJ
@Μυσός|a prey to all|LSJ
@Μῆδος|Mede, Median|LSJ
@Νέαιρα|Neaera|LSJ
@Ξ|samech|LSJ
@Πάνορμος|its people|LSJ
@Πάρος|Paros|LSJ
@Πηλούσιον|inhabitant of P.|LSJ
@Πηλούσιον1|inhabitant of P.|LSJ
@Πλάτων|broad-shouldered|LSJ
@Πολιάς|guardian of the city|LSJ
@Σ|shin|LSJ
@Σάραπις|Osiris-Apis|LSJ
@Σήρ|silkworm|LSJ
@Σκῦρος|of or from Scyros|LSJ
@Σμύρνα|of Smyrna|LSJ
@Σπάρτη|from Sparta|LSJ
@Σπανός|grey|LSJ
@Συβαρίζω|live like a Sybarite or voluptuary|LSJ
@Συρίζω|speak like a Syrian|LSJ
@Σύρος2|Syrian|LSJ
@Τυμωλίς|inhabitants of T.|LSJ
@Τυμωλίς1|inhabitants of T.|LSJ
@Φάρος|Pharos|LSJ
@Χέω1|diffuse completely|LSJ
@Χέω2|decant|LSJ
@Χείμερος|unfitted to endure winter|LSJ
@Χείρων|Cheiron|LSJ
@Χειμάζω|winter in|LSJ
@Χορος2|with fair dancing-grounds|LSJ
@Χράομαι1|abuse|LSJ
@Χράομαι2|exploit together|LSJ
@Χροος|of bad complexion|LSJ
@Χροος1|of bad complexion|LSJ
@Χροος2|beautiful-coloured|LSJ
@Χωρέω1|to be fond of dwelling in, haunt|LSJ
@Χωρέω2|go away together|LSJ
@Χωρισμός|renewed execution|LSJ
@Ψ|kh|LSJ
@α2|to be moistened|LSJ
@αἶα2|avia.|LSJ
@αὐονή|dryness, withering, drought|LSJ
@αὐονή1|dryness, withering, drought|LSJ
@αὐονή2|cry|LSJ
@αὔω|get a light, light a fire|LSJ
@αὔω1|get a light, light a fire|LSJ
@αὔω2|cry out, shout, call aloud|LSJ
@βάτος|bramble, Rubus ulmifolius|LSJ
@βάτος1|bramble, Rubus ulmifolius|LSJ
@βάτος2|fish|LSJ
@βάτος3|bath|LSJ
@βαθυδίνης|deep-eddying|LSJ
@βαθυδίνης1|deep-eddying|LSJ
@βαθόημι2|come to aid, succour, assist, aid|LSJ
@βικίον2|vetch, Vicia sativa|LSJ
@βορός|gluttonous|LSJ
@βορός1|gluttonous|LSJ
@βορός2|juice of pressed grapes|LSJ
@βούβαστις|five|LSJ
@βούβαστις1|five|LSJ
@βούβαστις2|groin|LSJ
@βραχίων|arm|LSJ
@βραχίων1|arm|LSJ
@βρόμος|any loud noise|LSJ
@βρόμος1|any loud noise|LSJ
@βρόμος2|oats, Avena sativa|LSJ
@βρῶμος2|stink, noisome smell|LSJ
@βύζω|to be frequent|LSJ
@βύζω1|to be frequent|LSJ
@βύζω2|hoot|LSJ
@βύνη|malt for brewing|LSJ
@βώμιος|of an altar|LSJ
@βῆμα|step, pace|LSJ
@βῆμα1|step, pace|LSJ
@γάδος|fish|LSJ
@γάδος1|fish|LSJ
@γάδος2|ganeo|LSJ
@γάνος|brightness, sheen|LSJ
@γάνος1|brightness, sheen|LSJ
@γάνος2|Ber. Sächs.Gesellsch.|LSJ
@γευστός|that may be tasted|LSJ
@γνωτός|perceived, understood, known|LSJ
@γνωτός1|perceived, understood, known|LSJ
@γνωτός2|kinsman, kinswoman|LSJ
@δάνος|gift, present|LSJ
@δάνος1|gift, present|LSJ
@δέλλις|wasp|LSJ
@δέλλις1|wasp|LSJ
@δέλτος2|writing-tablet|LSJ
@δήν|for a long while|LSJ
@δήω|find, meet with|LSJ
@δήω1|find, meet with|LSJ
@δήω2|burn|LSJ
@δίοπος|ruler, commander|LSJ
@δίοπος1|ruler, commander|LSJ
@δίοπος2|with two holes|LSJ
@δίς|twice, doubly|LSJ
@δαΐς|fire-brand, pinetorch|LSJ
@δαΐς1|fire-brand, pinetorch|LSJ
@δαίς2|meal, banquet|LSJ
@δαίω|dunō óti|LSJ
@δαίω1|dunō óti|LSJ
@δαίω2|divide|LSJ
@δαλός|fire-brand|LSJ
@δαλός1|fire-brand|LSJ
@δαῦκος|Cretensis|LSJ
@δαῦκος1|Cretensis|LSJ
@δείλομαι|verge towards afternoon|LSJ
@δείλομαι1|verge towards afternoon|LSJ
@δεύω|wet, drench|LSJ
@δεύω1|wet, drench|LSJ
@δεύω2|miss, want|LSJ
@δεῖνος2|different round vessels|LSJ
@δηλέομαι|hurt, do a mischief to|LSJ
@δηλέομαι1|hurt, do a mischief to|LSJ
@δητός|bundle|LSJ
@δητός1|bundle|LSJ
@διαδικέω|contend at law|LSJ
@διαδικέω1|contend at law|LSJ
@διαδικέω2|do wrong, injure|LSJ
@διαείδω|discern, distinguish|LSJ
@διαείδω1|discern, distinguish|LSJ
@διαείδω2|contend in singing|LSJ
@δορά|skin when taken off, hide|LSJ
@δορά1|skin when taken off, hide|LSJ
@δυσαχής2|most painful|LSJ
@δόμα|gift|LSJ
@δόμα1|gift|LSJ
@δύσαυλος|bad for lodging, inhospitable|LSJ
@δύσαυλος1|bad for lodging, inhospitable|LSJ
@δύσαυλος2|an unhappy|LSJ
@δύστομος|hard-mouthed|LSJ
@δύστομος1|hard-mouthed|LSJ
@δύστομος2|hard to cut|LSJ
@δύω2|cause to sink, sink, plunge in|LSJ
@εἴκω|to be like, seem likely|LSJ
@εἴκω1|to be like, seem likely|LSJ
@εἴκω2|give way, retire|LSJ
@εἴρη|a place of assembly|LSJ
@εἴρη1|a place of assembly|LSJ
@εἴρη2|rainbow|LSJ
@εἴρω|fasten together in rows, string|LSJ
@εἴρω1|fasten together in rows, string|LSJ
@εἴρω2|say, speak, tell|LSJ
@εἴρω3|ask|LSJ
@εὐήτριος|with good or fine thread, well-woven|LSJ
@εὐήτριος1|with good or fine thread, well-woven|LSJ
@εὐαγής|free from pollution, pure|LSJ
@εὐαγής1|free from pollution, pure|LSJ
@εὐαγής3|bright, clear|LSJ
@εὐθαλής|blooming, flourishing, thriving|LSJ
@εὐθαλής1|blooming, flourishing, thriving|LSJ
@εὐθαλής2|flourishing, thriving|LSJ
@εὐκράς|temperate, of even temperature|LSJ
@εὐκράς1|temperate, of even temperature|LSJ
@εὐκτέανος|wealthy|LSJ
@εὐκτέανος1|wealthy|LSJ
@εὐοψία|abundance of|LSJ
@εὐοψία1|abundance of|LSJ
@εὐοψία2|good looks|LSJ
@εὐσέβεια|reverence towards the gods or parents, piety|LSJ
@εὐωπός|friendly|LSJ
@εὐωπός1|friendly|LSJ
@εὐωπός2|sea-fish|LSJ
@εὐώνυμος|of good name, honoured|LSJ
@εὐώνυμος1|of good name, honoured|LSJ
@εὐώνυμος2|spindle-tree, Euonymus europaeus|LSJ
@εὔκηλος|free from care, at one's ease|LSJ
@εὔκηλος1|free from care, at one's ease|LSJ
@εὔκηλος2|easily burning|LSJ
@εὔρινος2|of good leather|LSJ
@εὖνις|reft of, bereaved of|LSJ
@εὖνις1|reft of, bereaved of|LSJ
@εὖνις2|bedfellow, wife|LSJ
@εὖρος|breadth, width|LSJ
@θέα|seeing, looking at|LSJ
@θέα2|seeing, looking at|LSJ
@θήρα|hunting of wild beasts, the chase|LSJ
@θειώδης|sulphureous|LSJ
@θειώδης1|sulphureous|LSJ
@θειώδης2|divine.|LSJ
@θεσμοφόριον|temple of Demeter|LSJ
@θεσμοφόριον1|temple of Demeter|LSJ
@θεῖον|brimstone|LSJ
@θεῖον1|brimstone|LSJ
@θεῖον2|the Divinity|LSJ
@θοάζω|move quickly, ply rapidly|LSJ
@θοάζω1|move quickly, ply rapidly|LSJ
@θοάζω2|sit|LSJ
@θολία|conical hat with broad brim|LSJ
@θολία1|conical hat with broad brim|LSJ
@θολός|mud, dirt|LSJ
@θολός1|mud, dirt|LSJ
@θοός|quick, nimble|LSJ
@θοός1|quick, nimble|LSJ
@θοός2|pointed, sharp|LSJ
@θρέπτρα2|a nurse|LSJ
@θρᾷττα|a small sea-fish|LSJ
@θυμώδης|fierce|LSJ
@θυμώδης1|fierce|LSJ
@θυμώδης2|like thyme|LSJ
@θύμος2|warty excrescence|LSJ
@ιος|mocking, taunting|LSJ
@ιος1|mocking, taunting|LSJ
@κάλλιον2|board or bench of magistrates|LSJ
@κάλπη|trot|LSJ
@κάλπη1|trot|LSJ
@κάλπη2|pitcher|LSJ
@κάννα2|pole-reed, Arundo Donax|LSJ
@κάρ2|s worth|LSJ
@κάρα|head|LSJ
@κάρα1|head|LSJ
@κάρα2|tame goat|LSJ
@κάστωρ|beaver, Castor fiber|LSJ
@κάταγμα|wool drawn or spun out, worsted|LSJ
@κάταγμα1|wool drawn or spun out, worsted|LSJ
@κάταγμα2|fragment|LSJ
@κάτισις|division into parts|LSJ
@κάτισις1|division into parts|LSJ
@κάτοπτος|visible|LSJ
@κάτοπτος1|visible|LSJ
@κάτοπτος2|dried-up|LSJ
@κέρχνος2|rough excrescence|LSJ
@κέρχνος3|rough, hoarse|LSJ
@κίρκη|bird|LSJ
@κακκάβη|three-legged pot|LSJ
@κακκάβη1|three-legged pot|LSJ
@κακκάβη2|partridge|LSJ
@καλόπους2|with beautiful feet|LSJ
@καρπάσιον|flax|LSJ
@καρπίζω|enjoy the fruits of|LSJ
@καρπίζω1|enjoy the fruits of|LSJ
@καρπίζω2|enfranchise a slave by touching him with the rod|LSJ
@καρπισμός|exhaustion|LSJ
@καρπισμός1|exhaustion|LSJ
@καρπισμός2|vindiciae|LSJ
@καρύϊνος|of nuts|LSJ
@καταδέω|bind on or to, bind fast|LSJ
@καταδέω1|bind on or to, bind fast|LSJ
@καταδέω2|lack, need|LSJ
@καταδεής|wanting in, lacking|LSJ
@καταδεής1|wanting in, lacking|LSJ
@καταδεής2|timid|LSJ
@κατακλάω2|break short, snap off|LSJ
@καταλέγω|lay down|LSJ
@καταλέγω1|lay down|LSJ
@καταλέγω2|recount, tell at length and in order|LSJ
@καταλεύω|stone to death|LSJ
@καταλεύω1|stone to death|LSJ
@κατανέω|heap, pile up|LSJ
@κατανέω1|heap, pile up|LSJ
@κατανέω2|spin out|LSJ
@καταπλώω|sail down|LSJ
@καταπλώω1|sail down|LSJ
@κατισμός2|placing among the stars|LSJ
@καὶ|for also, for in fact|LSJ
@καὶ1|for also, for in fact|LSJ
@καὶ3|so now|LSJ
@καῦσος|causus|LSJ
@καῦσος1|causus|LSJ
@κείω|to lie down|LSJ
@κείω1|to lie down|LSJ
@κείω2|cleave|LSJ
@κεγχρίτης2|like millet|LSJ
@κεράς2|mixed|LSJ
@κεράω2|make horned|LSJ
@κεραΐς|worm that eats horn|LSJ
@κεραΐς1|worm that eats horn|LSJ
@κηλόω|have an abnormal delivery|LSJ
@κηλόω1|have an abnormal delivery|LSJ
@κηραίνω|harm, destroy|LSJ
@κηραίνω1|harm, destroy|LSJ
@κηραίνω2|to be sick at heart, anxious|LSJ
@κλάω|break, break off|LSJ
@κλάω1|break, break off|LSJ
@κλέω|tell of, make famous, celebrate|LSJ
@κλέω1|tell of, make famous, celebrate|LSJ
@κλέω2|call|LSJ
@κλείω|shut, close, bar|LSJ
@κλείω1|shut, close, bar|LSJ
